Tanda_nr,Leader,Follower
1,P009,P001
1,P017,P013
2,P009,P019
2,P017,P005
2,P001,P020
2,P013,P007
2,P023,P006
2,P004,P020
3,P028,P022
3,P019,P023
3,P007,P010
3,P001,P027
3,P017,P013
3,P019,P013
4,P014,P020
4,P028,P025
4,P017,P006
4,P022,
4,P001,P005
5,P001,P005
5,P015,
5,P028,P006
5,P007,P027
5,P020,P014
6,P004,P009
6,P019,P022
6,P017,P020
6,P024,P023
7,P002,P022
7,P017,P027
7,P019,P015
7,P001,P023
7,P009,P023
7,P016,P010
7,P001,P026
7,P024,P007
7,P011,P020
7,P025,P006
8,P014,P023
8,P024,P006
8,P022,
8,P013,P005
8,P011,P020
8,P003,P010
8,P002,P015
8,,P007
9,P001,P010
9,P009,P022
9,P024,P015
9,P004,P006
9,P002,P012
9,P013,P005
9,P016,P020
9,P007,P008
10,P024,P020
10,P019,P003
10,P002,P013
10,P014,P006
10,P025,P023
10,P001,P005
10,P019,
11,P004,P005
11,P002,P007
11,P024,P022
11,P018,P006
11,P017,P012
11,P019,
11,P016,P003
12,P014,P012
12,P020,P005
12,P002,P025
12,P024,P013
12,P001,P006
12,P019,P022
12,P017,P027
12,P008,P003
12,P019,P022
12,P023,P026
13,P014,P006
13,P002,P021
13,P017,P023
13,P018,P012
13,P024,P025
13,P008,P007
13,P004,P019
14,P019,P008
14,P011,P020
14,P002,P021
14,P024,P007
14,P001,P005
14,P017,P012
